slug,name,smiles,pathway,superclass,np_class,organism,kingdom,phylum,family,genus,species,geographic_origin,pubchem_cid,chebi_id
papaverine,Papaverine,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,Alkaloids,Tyrosine alkaloids,Benzylisoquinoline alkaloids,Papaver somniferum,Plantae,Tracheophyta,Papaveraceae,Papaver,somniferum,Eastern Mediterranean (cultigen),,
strychnine,Strychnine,C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75,Alkaloids,Tryptophan alkaloids,Monoterpenoid indole alkaloids,Strychnos nux-vomica,Plantae,Tracheophyta,Loganiaceae,Strychnos,nux-vomica,South and Southeast Asia,,
piperine,Piperine,O=C(/C=C/C=C/c1ccc2OCOc2c1)N1CCCCC1,Alkaloids,Lysine alkaloids,Piperidine alkaloids,Piper nigrum,Plantae,Tracheophyta,Piperaceae,Piper,nigrum,Western Ghats of South India,,
ephedrine,Ephedrine,CN[C@@H](C)[C@H](O)c1ccccc1,Alkaloids,Phenylalanine-derived alkaloids,Phenylethylamines,Ephedra sinica,Plantae,Tracheophyta,Ephedraceae,Ephedra,sinica,Northern China and Mongolia,,
harmine,Harmine,COc1ccc2c(c1)[nH]c1c(C)nccc12,Alkaloids,Tryptophan alkaloids,beta-Carboline alkaloids,Peganum harmala,Plantae,Tracheophyta,Nitrariaceae,Peganum,harmala,Mediterranean to Central Asia,,
camptothecin,Camptothecin,CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccccc4cc3Cn1c2=O,Alkaloids,Tryptophan alkaloids,Quinoline alkaloids,Camptotheca acuminata,Plantae,Tracheophyta,Nyssaceae,Camptotheca,acuminata,Southern China,,
capsaicin,Capsaicin,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,Alkaloids,Pseudoalkaloids,Capsaicinoids,Capsicum annuum,Plantae,Tracheophyta,Solanaceae,Capsicum,annuum,Mexico and Central America (cultigen),,
quercetin,Quercetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Shikimates and Phenylpropanoids,Flavonoids,Flavonols,Allium cepa,Plantae,Tracheophyta,Amaryllidaceae,Allium,cepa,Central Asia (cultigen),5280343,CHEBI:16243
kaempferol,Kaempferol,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,Shikimates and Phenylpropanoids,Flavonoids,Flavonols,Camellia sinensis,Plantae,Tracheophyta,Theaceae,Camellia,sinensis,Southern China,,
myricetin,Myricetin,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,Shikimates and Phenylpropanoids,Flavonoids,Flavonols,Myrica rubra,Plantae,Tracheophyta,Myricaceae,Myrica,rubra,East Asia,,
apigenin,Apigenin,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,Shikimates and Phenylpropanoids,Flavonoids,Flavones,Matricaria chamomilla,Plantae,Tracheophyta,Asteraceae,Matricaria,chamomilla,Europe and Western Asia,,
luteolin,Luteolin,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Shikimates and Phenylpropanoids,Flavonoids,Flavones,Reseda luteola,Plantae,Tracheophyta,Resedaceae,Reseda,luteola,Europe and the Mediterranean,,
chrysin,Chrysin,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,Shikimates and Phenylpropanoids,Flavonoids,Flavones,Passiflora caerulea,Plantae,Tracheophyta,Passifloraceae,Passiflora,caerulea,Southern South America,,
naringenin,Naringenin,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,Shikimates and Phenylpropanoids,Flavonoids,Flavanones,Citrus x paradisi,Plantae,Tracheophyta,Rutaceae,Citrus,x paradisi,Caribbean (cultigen),,
hesperetin,Hesperetin,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,Shikimates and Phenylpropanoids,Flavonoids,Flavanones,Citrus sinensis,Plantae,Tracheophyta,Rutaceae,Citrus,sinensis,Southern China (cultigen),,
genistein,Genistein,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,Shikimates and Phenylpropanoids,Flavonoids,Isoflavones,Glycine max,Plantae,Tracheophyta,Fabaceae,Glycine,max,East Asia (cultigen),,
daidzein,Daidzein,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,Shikimates and Phenylpropanoids,Flavonoids,Isoflavones,Glycine max,Plantae,Tracheophyta,Fabaceae,Glycine,max,East Asia (cultigen),,
biochanin_a,Biochanin A,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,Shikimates and Phenylpropanoids,Flavonoids,Isoflavones,Trifolium pratense,Plantae,Tracheophyta,Fabaceae,Trifolium,pratense,Europe and Western Asia,,
catechin,(+)-Catechin,O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1ccc(O)c(O)c1,Shikimates and Phenylpropanoids,Flavonoids,Flavan-3-ols,Camellia sinensis,Plantae,Tracheophyta,Theaceae,Camellia,sinensis,Southern China,,
epicatechin,(-)-Epicatechin,O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1,Shikimates and Phenylpropanoids,Flavonoids,Flavan-3-ols,Camellia sinensis,Plantae,Tracheophyta,Theaceae,Camellia,sinensis,Southern China,,
baicalein,Baicalein,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,Shikimates and Phenylpropanoids,Flavonoids,Flavones,Scutellaria baicalensis,Plantae,Tracheophyta,Lamiaceae,Scutellaria,baicalensis,East Asia,,
fisetin,Fisetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,Shikimates and Phenylpropanoids,Flavonoids,Flavonols,Cotinus coggygria,Plantae,Tracheophyta,Anacardiaceae,Cotinus,coggygria,Southern Europe to China,,
galangin,Galangin,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,Shikimates and Phenylpropanoids,Flavonoids,Flavonols,Alpinia officinarum,Plantae,Tracheophyta,Zingiberaceae,Alpinia,officinarum,Southern China,,
tangeretin,Tangeretin,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1,Shikimates and Phenylpropanoids,Flavonoids,Flavones,Citrus reticulata,Plantae,Tracheophyta,Rutaceae,Citrus,reticulata,Southern China and Southeast Asia,,
curcumin,Curcumin,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,Shikimates and Phenylpropanoids,Diarylheptanoids,Linear diarylheptanoids,Curcuma longa,Plantae,Tracheophyta,Zingiberaceae,Curcuma,longa,South Asia (cultigen),969516,CHEBI:3962
resveratrol,trans-Resveratrol,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,Shikimates and Phenylpropanoids,Stilbenoids,Stilbenes,Vitis vinifera,Plantae,Tracheophyta,Vitaceae,Vitis,vinifera,Mediterranean and Western Asia,445154,CHEBI:45713
menthol,(-)-Menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,Terpenoids,Monoterpenoids,Menthane monoterpenoids,Mentha x piperita,Plantae,Tracheophyta,Lamiaceae,Mentha,x piperita,Europe (hybrid),,
limonene,(R)-Limonene,CC1=CC[C@@H](CC1)C(C)=C,Terpenoids,Monoterpenoids,Menthane monoterpenoids,Citrus sinensis,Plantae,Tracheophyta,Rutaceae,Citrus,sinensis,Southern China (cultigen),,
geraniol,Geraniol,CC(C)=CCC/C(C)=C/CO,Terpenoids,Monoterpenoids,Acyclic monoterpenoids,Pelargonium graveolens,Plantae,Tracheophyta,Geraniaceae,Pelargonium,graveolens,South Africa,,
linalool,Linalool,CC(C)=CCCC(C)(O)C=C,Terpenoids,Monoterpenoids,Acyclic monoterpenoids,Coriandrum sativum,Plantae,Tracheophyta,Apiaceae,Coriandrum,sativum,Mediterranean and Western Asia,,
camphor,(+)-Camphor,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,Terpenoids,Monoterpenoids,Bornane monoterpenoids,Cinnamomum camphora,Plantae,Tracheophyta,Lauraceae,Cinnamomum,camphora,East Asia,,
borneol,Borneol,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](O)C2,Terpenoids,Monoterpenoids,Bornane monoterpenoids,Dryobalanops aromatica,Plantae,Tracheophyta,Dipterocarpaceae,Dryobalanops,aromatica,Borneo; Sumatra; Malay Peninsula,,
alpha_pinene,alpha-Pinene,CC1=CC[C@@H]2C[C@H]1C2(C)C,Terpenoids,Monoterpenoids,Pinane monoterpenoids,Pinus sylvestris,Plantae,Tracheophyta,Pinaceae,Pinus,sylvestris,Europe and Northern Asia,,
carvone,(R)-(-)-Carvone,CC(=C)[C@@H]1CC=C(C)C(=O)C1,Terpenoids,Monoterpenoids,Menthane monoterpenoids,Mentha spicata,Plantae,Tracheophyta,Lamiaceae,Mentha,spicata,Europe and Southern Asia,,
thymol,Thymol,Cc1ccc(C(C)C)c(O)c1,Terpenoids,Monoterpenoids,Menthane monoterpenoids,Thymus vulgaris,Plantae,Tracheophyta,Lamiaceae,Thymus,vulgaris,Western Mediterranean,,
eucalyptol,"1,8-Cineole (Eucalyptol)",CC12CCC(CC1)C(C)(C)O2,Terpenoids,Monoterpenoids,Menthane monoterpenoids,Eucalyptus globulus,Plantae,Tracheophyta,Myrtaceae,Eucalyptus,globulus,Southeastern Australia and Tasmania,,
citral,Geranial (Citral A),CC(C)=CCC/C(C)=C/C=O,Terpenoids,Monoterpenoids,Acyclic monoterpenoids,Cymbopogon citratus,Plantae,Tracheophyta,Poaceae,Cymbopogon,citratus,South and Southeast Asia (cultigen),,
farnesol,Farnesol,CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,Terpenoids,Sesquiterpenoids,Farnesane sesquiterpenoids,Vachellia farnesiana,Plantae,Tracheophyta,Fabaceae,Vachellia,farnesiana,Tropical Americas,,
beta_caryophyllene,beta-Caryophyllene,C/C1=C\CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1,Terpenoids,Sesquiterpenoids,Caryophyllane sesquiterpenoids,Syzygium aromaticum,Plantae,Tracheophyta,Myrtaceae,Syzygium,aromaticum,Maluku Islands; Indonesia,,
artemisinin,Artemisinin,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,Terpenoids,Sesquiterpenoids,Cadinane sesquiterpenoids,Artemisia annua,Plantae,Tracheophyta,Asteraceae,Artemisia,annua,Temperate Asia (China),68827,CHEBI:223316
parthenolide,Parthenolide,C/C1=C\CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1,Terpenoids,Sesquiterpenoids,Germacrane sesquiterpenoids,Tanacetum parthenium,Plantae,Tracheophyta,Asteraceae,Tanacetum,parthenium,Balkan Peninsula and Caucasus,,
abietic_acid,Abietic acid,CC(C)C1=CC2=CC[C@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1,Terpenoids,Diterpenoids,Abietane diterpenoids,Pinus palustris,Plantae,Tracheophyta,Pinaceae,Pinus,palustris,Southeastern United States,,
paclitaxel,Paclitaxel (Taxol),CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,Terpenoids,Diterpenoids,Taxane diterpenoids,Taxus brevifolia,Plantae,Tracheophyta,Taxaceae,Taxus,brevifolia,Pacific Northwest of North America,36314,CHEBI:45863
oleanolic_acid,Oleanolic acid,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,Terpenoids,Triterpenoids,Oleanane triterpenoids,Olea europaea,Plantae,Tracheophyta,Oleaceae,Olea,europaea,Mediterranean Basin,,
squalene,Squalene,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,Terpenoids,Triterpenoids,Squalene-type triterpenoids,Squalus acanthias,Animalia,Chordata,Squalidae,Squalus,acanthias,Temperate coastal waters worldwide,,
coumarin,Coumarin,O=c1ccc2ccccc2o1,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,Dipteryx odorata,Plantae,Tracheophyta,Fabaceae,Dipteryx,odorata,Northern South America,,
umbelliferone,Umbelliferone,O=c1ccc2ccc(O)cc2o1,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,Coriandrum sativum,Plantae,Tracheophyta,Apiaceae,Coriandrum,sativum,Mediterranean and Western Asia,,
scopoletin,Scopoletin,COc1cc2ccc(=O)oc2cc1O,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,Scopolia carniolica,Plantae,Tracheophyta,Solanaceae,Scopolia,carniolica,Central and Eastern Europe,,
scoparone,Scoparone,COc1cc2ccc(=O)oc2cc1OC,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,Artemisia capillaris,Plantae,Tracheophyta,Asteraceae,Artemisia,capillaris,East Asia,,
esculetin,Esculetin,O=c1ccc2cc(O)c(O)cc2o1,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,Aesculus hippocastanum,Plantae,Tracheophyta,Sapindaceae,Aesculus,hippocastanum,Balkan Peninsula,,
psoralen,Psoralen,O=c1ccc2cc3ccoc3cc2o1,Shikimates and Phenylpropanoids,Coumarins,Furocoumarins,Cullen corylifolium,Plantae,Tracheophyta,Fabaceae,Cullen,corylifolium,Indian subcontinent,,
bergapten,Bergapten,COc1c2ccoc2cc2oc(=O)ccc12,Shikimates and Phenylpropanoids,Coumarins,Furocoumarins,Citrus bergamia,Plantae,Tracheophyta,Rutaceae,Citrus,bergamia,Calabria; Italy (cultigen),,
osthole,Osthole,COc1ccc2ccc(=O)oc2c1CC=C(C)C,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,Cnidium monnieri,Plantae,Tracheophyta,Apiaceae,Cnidium,monnieri,East Asia,,
caffeic_acid,Caffeic acid,O=C(O)/C=C/c1ccc(O)c(O)c1,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coffea arabica,Plantae,Tracheophyta,Rubiaceae,Coffea,arabica,Ethiopian highlands (native range of source organism),,
ferulic_acid,Ferulic acid,COc1cc(/C=C/C(=O)O)ccc1O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Oryza sativa,Plantae,Tracheophyta,Poaceae,Oryza,sativa,East and South Asia (cultigen),,
p_coumaric_acid,p-Coumaric acid,O=C(O)/C=C/c1ccc(O)cc1,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,,Plantae,Tracheophyta,,,,Ubiquitous in vascular plants,,
sinapic_acid,Sinapic acid,COc1cc(/C=C/C(=O)O)cc(OC)c1O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Sinapis alba,Plantae,Tracheophyta,Brassicaceae,Sinapis,alba,Mediterranean,,
cinnamaldehyde,trans-Cinnamaldehyde,O=C/C=C/c1ccccc1,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamaldehydes,Cinnamomum verum,Plantae,Tracheophyta,Lauraceae,Cinnamomum,verum,Sri Lanka,,
eugenol,Eugenol,C=CCc1ccc(O)c(OC)c1,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Phenylpropenes,Syzygium aromaticum,Plantae,Tracheophyta,Myrtaceae,Syzygium,aromaticum,Maluku Islands; Indonesia,,
anethole,trans-Anethole,C/C=C/c1ccc(OC)cc1,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Phenylpropenes,Pimpinella anisum,Plantae,Tracheophyta,Apiaceae,Pimpinella,anisum,Eastern Mediterranean,,
chlorogenic_acid,Chlorogenic acid,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Coffea arabica,Plantae,Tracheophyta,Rubiaceae,Coffea,arabica,Ethiopian highlands (native range of source organism),,
rosmarinic_acid,Rosmarinic acid,O=C(O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)/C=C/c1ccc(O)c(O)c1,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Salvia rosmarinus,Plantae,Tracheophyta,Lamiaceae,Salvia,rosmarinus,Mediterranean Basin,,
penicillin_g,Penicillin G (Benzylpenicillin),CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,Amino acids and Peptides,beta-Lactams,Penicillins,Penicillium rubens,Fungi,Ascomycota,Aspergillaceae,Penicillium,rubens,"London, UK (Fleming's 1928 isolate)",5904,CHEBI:18208
vancomycin,Vancomycin,C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,Amino acids and Peptides,Oligopeptides,Glycopeptides,Amycolatopsis orientalis,Bacteria,Actinomycetota,Pseudonocardiaceae,Amycolatopsis,orientalis,Borneo (original soil isolate),14969,CHEBI:28001
lovastatin,Lovastatin,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,Polyketides,Reduced polyketides,Statins,Aspergillus terreus,Fungi,Ascomycota,Aspergillaceae,Aspergillus,terreus,Cosmopolitan soil fungus,,
emodin,Emodin,Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1,Polyketides,Aromatic polyketides,Anthraquinones and anthrones,Rheum palmatum,Plantae,Tracheophyta,Polygonaceae,Rheum,palmatum,Western China and Tibet,,
